"acetic_acid_norm","propionic_acid_norm","butyric_acid_norm","shannon_entropy","chao1","fisher_alpha","margalef","gini_index","menhinick","strong","simpson","faith_pd","pielou_evenness"
120.079,44.418,104.783,6.672716888,153.5,23.71645883,15.80730812,0.981417053,1.249239769,0.368043137,0.987717938,20.02291422,0.919437824
112.119,53.11,50.819,6.874656846,246.875,40.5718448,24.8549121,0.977562206,1.959591794,0.455433333,0.98502984,26.47164352,0.869451368
178.29,57.952,55.766,6.792995171,164.25,25.74926165,16.95125804,0.979839496,1.339054393,0.362858537,0.988658764,21.18899692,0.923268387
183.386,110.527,129.932,6.577132703,148,22.62080555,15.18333543,0.982386288,1.200249974,0.366863946,0.985546498,19.81642652,0.913532226
154.947,61.973,152.212,6.599832875,145,22.2576969,14.97534453,0.982121513,1.183920042,0.353029885,0.986284756,19.96960367,0.919208418
109.74,44.003,87.549,6.591847618,167.5,24.45209203,16.22328991,0.982243121,1.281899632,0.383337155,0.985752116,21.65429511,0.903658716
26.006,18.86,16.719,6.732420366,207.4285714,33.78064226,21.31906687,0.979632624,1.681982957,0.425994175,0.98374392,22.9733653,0.875875874
151.207,75.277,51.587,6.920968802,221.3333333,34.96099605,21.94303955,0.977605768,1.730972752,0.41011195,0.987625236,23.27319858,0.895579715
167.887,91.535,121.396,6.850332081,185.5,29.33110428,18.92717156,0.978931221,1.494188743,0.378210929,0.988337929,22.0442499,0.911469621
56.616,24.532,63.392,6.371080986,122.3333333,18.16084984,12.58344922,0.984831521,0.996125829,0.356900546,0.98514312,18.11000495,0.919250099
114.355,30.514,24.236,7.243323641,250.5,42.20503922,25.68687569,0.972362396,2.024911521,0.394767742,0.990909111,26.95381445,0.910629227
231.63,45.449,46.89,7.28180148,279.1428571,46.34441518,27.76678465,0.971472624,2.188210837,0.406720398,0.990649271,27.63538646,0.90276729
121.184,41.391,49.247,6.590957043,149,22.98497388,15.39132632,0.982436596,1.216579906,0.372561074,0.986254596,19.90368206,0.912980079
278.667,82.682,106.816,6.56880128,159.1666667,24.82144629,16.4312808,0.982211095,1.298229564,0.381244025,0.984308622,22.57394567,0.89825057
19.922,9.1,4.588,7.272062203,246,41.18275827,25.16689845,0.971923499,1.984086692,0.382460082,0.991267156,27.93224546,0.917632083
106.8,52.502,69.972,6.611088302,141,21.5346905,14.55936274,0.981916942,1.151260179,0.341697872,0.986309484,19.07375374,0.925980916
64.65,16.867,11.194,7.121782493,221.8571429,36.74627258,22.87899859,0.97464435,1.804457444,0.38620905,0.99060656,27.52201531,0.914467334
132.72,68.197,82.665,6.515299912,145.6,22.2576969,14.97534453,0.983055382,1.183920042,0.371868966,0.984701004,20.36742508,0.907434876
30.047,15.665,19.8,6.541685669,152,23.53319641,15.70331267,0.983004192,1.241074803,0.399154386,0.985716542,22.96781717,0.902559477
94.691,62.619,58.615,6.461852652,134,20.27990483,13.8313946,0.983880693,1.094105418,0.370469652,0.984856631,19.47687029,0.914487842
148.083,82.164,81.4,6.838380034,211.5,34.36982684,21.63105321,0.978727124,1.706477854,0.428128549,0.986211209,24.121298,0.887253327
70.732,16.177,40.272,6.573878205,146,22.43911828,15.07933998,0.982563341,1.192085008,0.364502283,0.986112764,19.70497897,0.914330823
111.854,69.933,77.896,6.992363552,189.3333333,30.48013324,19.55114425,0.976826604,1.543178538,0.359902646,0.989866702,21.8298023,0.924641549
109.199,51.328,40.497,6.436687633,147,21.71503819,14.66335819,0.984188873,1.159425145,0.397723005,0.984593316,20.60930347,0.900267873
357.394,131.785,86.13,6.697541266,208.5,32.80311744,20.79908963,0.979288069,1.641158128,0.404024876,0.98180168,39.24215687,0.875375247
146.466,43.26,54.086,6.698869616,197.2,32.02514193,20.38310783,0.979533649,1.608498264,0.408431472,0.982220436,22.76266267,0.878880094
13.466,5.087,3.006,7.413869446,269.4285714,46.34441518,27.76678465,0.96891398,2.188210837,0.373999005,0.992087431,27.84647588,0.919140524
279.53,82.844,80.657,6.832795527,187.25,30.09618887,19.34315335,0.979192088,1.526848606,0.390706239,0.987862898,22.25148585,0.905378439
126.147,44.282,73.871,6.900873089,190,30.28804473,19.4471488,0.977724413,1.535013572,0.363126241,0.988072889,22.08316775,0.913467725
85.716,36.83,39.814,6.853904697,180,28.56979458,18.51118977,0.978323215,1.46152888,0.356204842,0.987491182,24.08184255,0.915830226
153.189,41.652,58.581,6.56514856,131,19.7462977,13.51940826,0.982531789,1.069610521,0.332253435,0.986914196,20.24209288,0.933421544
150.433,86.294,127.934,6.286419307,115,16.94412476,11.85548109,0.985616485,0.938971068,0.357437681,0.983919458,19.29808374,0.918330063
158.614,89.979,91.734,6.143283262,125.75,18.68673655,12.89543557,0.986985406,1.020620726,0.4176,0.979464098,26.72348384,0.881922697
59.174,43.687,30.493,6.40899168,168,23.71645883,15.80730812,0.984180236,1.249239769,0.416471895,0.982130764,20.85824188,0.883098963
158.275,89.054,157.207,6.852116919,181.1666667,28.94997495,18.71918066,0.978829125,1.477858811,0.370100921,0.988269431,21.80809438,0.913634363
72.287,20.336,40.837,6.690848278,163.6,25.56319567,16.8472626,0.98101803,1.330889427,0.37662863,0.987065973,20.02701461,0.910477043
111.799,29.787,86.829,6.757725428,174.3333333,27.62353161,17.99121253,0.980379606,1.420704051,0.391972414,0.987589529,21.30309339,0.90793722
262.995,119.439,95.376,7.006391715,234,38.54892533,23.81495762,0.976504113,1.877942136,0.426831884,0.988449084,28.4147127,0.893047046
325.494,77.854,60.271,6.571115212,188,30.28804473,19.4471488,0.98061617,1.535013572,0.402889362,0.978693022,21.6207266,0.869817715
121.317,56.709,49.965,6.948596103,191,30.28804473,19.4471488,0.977556249,1.535013572,0.369992908,0.989662818,21.92000519,0.919784814
309.729,72.184,172.884,6.618513143,147,22.62080555,15.18333543,0.981807376,1.200249974,0.351658503,0.986016978,18.86904918,0.919279771
25.927,7.506,7.971,7.372115173,271.1,46.55346138,27.8707801,0.970140142,2.196375803,0.396071871,0.991918338,28.87862757,0.913355578
118.932,31.731,33.7,7.044447872,209.75,33.78064226,21.31906687,0.975730339,1.681982957,0.367492557,0.989655049,25.12903189,0.916470095
128.88,35.324,48.089,6.481756624,165,25.93557745,17.05525349,0.982836091,1.347219359,0.418866667,0.980847609,24.26945024,0.879917608
14.84,7.502,6.647,6.321423048,127,19.03877837,13.10342646,0.985446525,1.036950658,0.392336483,0.983662951,22.62225186,0.904522572
133.852,63.914,57.215,7.012656587,229.5,36.34803052,22.67100769,0.975959496,1.788127512,0.396866667,0.988173947,22.92139375,0.901974103
100.893,92.568,74.342,7.004501935,223.25,36.9457156,22.98299404,0.97651669,1.81262241,0.413295495,0.988601431,25.86425475,0.89865643
172.042,91.118,133.261,6.745057194,201.2,32.80311744,20.79908963,0.97962695,1.641158128,0.424000995,0.984481173,22.36267275,0.881585626
75.228,17.687,66.104,6.467869133,145,22.2576969,14.97534453,0.983833853,1.183920042,0.398652874,0.984403849,19.63634997,0.900828834
175.362,86.218,41.791,6.623095106,193,29.90456629,19.2391579,0.981851568,1.518683641,0.450215054,0.984347929,26.37880608,0.878492584
